stateName,total,adult
Alabama,4921532,3834249
Alaska,731158,552427
Arizona,7421401,5774978
Arkansas,3030522,2330808
California,39368078,30576844
Colorado,5807719,4557684
Connecticut,3557006,2838054
Delaware,986809,782153
District of Columbia,712816,583228
Florida,21733312,17482580
Georgia,10710017,8210067
Hawaii,1407006,1111188
Idaho,1826913,1375870
Illinois,12587530,9809562
Indiana,6754953,5188514
Iowa,3163561,2438002
Kansas,2913805,2217059
Kentucky,4477251,3475334
Louisiana,4645318,3564038
Maine,1350141,1101973
Maryland,6055802,4721883
Massachusetts,6893574,5552051
Michigan,9966555,7839742
Minnesota,5657342,4356123
Mississippi,2966786,2273653
Missouri,6151548,4780119
Montana,1080577,850894
Nebraska,1937552,1462537
Nevada,3138259,2440679
New Hampshire,1366275,1113141
New Jersey,8882371,6947836
New Mexico,2106319,1633828
New York,19336776,15348422
North Carolina,10600823,8294423
North Dakota,765309,583680
Ohio,11693217,9124576
Oklahoma,3980783,3027263
Oregon,4241507,3380729
Pennsylvania,12783254,10162497
Rhode Island,1057125,855276
South Carolina,5218040,4100115
South Dakota,892717,674238
Tennessee,6886834,5373433
Texas,29360759,21925627
Utah,3249879,2320603
Vermont,623347,510181
Virginia,8590563,6724143
Washington,7693612,6027818
West Virginia,1784787,1428520
Wisconsin,5832655,4574131
Wyoming,582328,449237
